Japanese,English
無限,"infinite, endless"
争う,"compete, fight"
資源,resources
起源,"origin, beginning"
著す,"write, compose"
著者,"author, writer"
著しい,"remarkable, conspicuous"
憎らしい,"odious, hateful"
憎む,"hate, detest"
憎い,"hateful, abominable"
憎しみ,"hatred, enmity"
悪,"evil, badness"
空間,"space, room"
狭い,"narrow, restricted"
小麦粉,flour
大麦,barley
量る,"measure, weigh"
小麦,wheat
麦,"wheat, oats"
秘書,secretary
駄目,no good
絶対に,"absolutely, unconditionally"
税金,tax
無駄,"pointless, useless"
無駄遣い,"wasting, squandering"
幸福,"happiness, joy"
代わる代わる,"by turns, alternately"
湿度,humidity
湿っぽい,"damp, humid, gloomy"
湿気,"moisture, dampness"
湿る,"get damp, get wet"
衣料,garments
衣服,clothes
衣類,"clothes, clothing"
衣食住,clothing and food and housing
幅広い,"wide, broad"
大幅,"drastically, substantially"
狭まる,"become narrow, contract"
幅,"width, breadth"
奥さん,"(someone else's) wife, married woman"
年下,"younger, junior"
奥様,"married woman, someone's wife"
奥,"inner part, the back, inner chamber"
酸っぱい,sour
水素,hydrogen
酸素,oxygen
揺れる,"shake, sway, rock"
電線,electric wire
ぐらぐら,wobble
普通,"normal, regular"
普段,"usual, habitual"
力,"strength, power"
相撲,sumo wrestling
入門,"entering an institution, beginning training"
犬,dog
賢い,"wise, smart"
悪賢い,"cunning, sly"
浴びる,take (a shower)
海水浴,sea bathing
シャワー,shower
入浴,bathing
折れる,"snap, be folded, give in"
枝,"branch, twig"
重み,"weight, emphasis"
抱える,to hold or carry under or in the arms
抱く,"hug, embrace"
ビニール,plastic bag
袋,"bag, sack"
手袋,gloves
儀式,"ceremony, ritual"
礼儀,"etiquette, courtesy"
行儀,"behavior, manners"
お辞儀,"bow, bowing"
俺,I (masculine sense)
ロック,rock (music)
反感,"ill feeling, antipathy"
入れる,put in
手帳,"pocketbook, memo"
電話帳,telephone book
通帳,"bankbook, passbook"
削る,"grind down, trim, scale back"
削除,"deletion, elimination"
不必要,"unnecessary, undesired"
意志,"will, volition"
受かる,to pass (exam)
志す,"aspire to, to set aims"
抱く,"embrace, hug, hold in arms"
秘密,"secret, privacy"
外部,"outside, outer"
密か,"secret, private"
映す,"reflect (something), project (an image)"
鏡,mirror
吹く,"blow, play on a wind instrument"
高原,"plateau, highland"
ぶつかる,"hit, bump into"
柱,"pillar, prop"
何だか,"somehow, somewhat"
贈る,"offer (as gift), present"
贈り物,"present, gift"
ばら,rose
珍しい,"rare, precious"
植物園,botanical garden
日本酒,"rice wine, sake"
体験,physical experience
省略,"omission, abridgment"
略,abbreviation
略す,"abbreviate, omit"
県,prefecture
県立,prefectural (institution)
県庁,prefectural office
庁,"public office, agency"
落ちる,"fall, sink"
ジャンプ,jump
ぶら下がる,"hang down, dangle"
猿,"monkey, ape"
翌日,the following day
翌朝,the following morning
翌年,the following year
全身,the whole body
理屈,"reason, theory"
退屈,"boredom, tedious"
酔っ払い,"drunkard, boozer"
酔っ払う,get drunk
酔う,become intoxicated
暴れる,"act violently, rage about"
打ち明ける,"confide in, reveal (one's secrets)"
それほど,"so much, that much"
悩む,"be troubled, suffer"
悩み,"troubles, worries"
状況,"state of affairs, conditions"
ますます,increasingly
不況,"recession, slump"
客観的,objective (view)
勇気,"courage, nerve"
浮かべる,"float (something), set (something) afloat"
避ける,"avoid (situation), evade"
避難,"refuge, shelter"
最悪,the worst
至る所,"everywhere, all over"
至急,"urgent, pressing"
至る,"come to, reach"
末,(after) the end
困る,"be troubled, be bothered, in a jam"
せっかち,impatient
困難,"difficulty, distress"
しつこい,persistent
載る,appear in print
対談,"conversation, interview"
載せる,"place, put on"
皿,"plate, counter for plates or helpings"
検討,"consideration, scrutiny"
前向き,"front-facing, positive"
修正,"correction, revision"
討論,"debate, discussion"
森,Forest
泉,"spring, fountain"
濡れる,get wet
底,"bottom, sole"
大部分,"greater part, majority"
燃える,"burn, undergo combustion"
意欲,"ambition, urge"
燃料,fuel
燃やす,burn (something)
貴重品,valuables
金庫,"strong box, safe"
貴い,"precious, valuable, sacred"
貴重,"precious, valuable"
眼鏡,"glasses, judgment"
近眼,"nearsightedness, shortsightedness"
レンズ,lens
眼科,ophthalmology
句,"phrase, clause"
慣用句,"idiom, common phrase"
文句,complaint
キス,kiss
岸,"bank, shore"
海岸,"seashore, coast"
継ぐ,"succeed, inherit"
継続,continuation
中継,"relay, broadcasting"
実は,"actually, honestly"
勘定,"check, tab"
勘,"sense, intuition"
勘違い,"misunderstanding, wrong assumption"
のどか,"tranquil, peaceful"
田舎,"country, countryside"
校舎,school building
歌声,singing voice
ポスター,poster
警告,"warning, admonition"
貼る,"stick, paste"
管理,"control, management (of business)"
センター,"center (for an activity, etc.), hub"
管,"pipe, tube"
奇数,odd number
好奇心,curiosity
袖,sleeve
半袖,short-sleeved shirt
長袖,clothes with long sleeves
朝ご飯,breakfast
洋食,"Western cooking, European dish"
制御,"control, restraint"
診察,medical examination
診る,examine
診断,diagnosis
回り,"vicinity, whereabouts"
周辺,"area of, vicinity of"
一周,"once around, revolution"
周囲,"surroundings, environs"
腰,"waist, lower back"
傷める,"damage, impair"
腰掛ける,sit down
腰掛け,"seat, bench"
傘,"umbrella, parasol"
小雨,"light rain, drizzle"
柄,"handle, grip"
差す,open (an umbrella)
気圧,atmospheric pressure
高気圧,high atmospheric pressure
低気圧,"low pressure, atmospheric depression"
圧力,pressure
浮く,float
氷,ice
固体,"solid, solid matter"
貯金,"savings, deposit"
毎月,every month
資金,"funds, capital"
わずか,"merely, a little"
詩,poetry
詩人,poet
用いる,"use, make use of"
坂,"slope, incline"
チェンジ,"change, exchange"
急,"urgent, dire, pressing"
胃,stomach
効果,"effect, result"
内科,internal medicine
預ける,to entrust to
無くす,"lose, get rid of"
作製,"manufacture, production"
鍵,"key, lock"
照明,"illumination, lighting"
照る,"shine, be fine"
照らす,"illuminate, shine on"
日,Japan
仏,"buddha, Buddhist image"
跡,"trace, track"
足跡,"footprint, footmark"
追跡,"pursuit, chase"
奇跡,"miracle, wonder"
滞在,stay
長期,long period
自殺,suicide
殺人,"murder, homicide"
殺す,"kill, smother"
泥棒,"thief, crook"
付く,"attach itself to, be connected with, come in contact with"
泥,"mud, dirt"
企業,"corporation, business"
企画,"plan, project"
重視,"importance, value"
規定,"regulation, provision"
物質,"matter, substance"
含む,"contain, include"
含める,include
灰,ashes
灰皿,ashtray
灰色,"ash color, gray"
スモッグ,smog
看護婦,nurse (female)
看護,nursing
看病,nursing (a patient)
すべすべ,smooth
肌,"skin, surface"
肌色,flesh-colored
肌着,underwear
訓読み,Japanese reading of character
訓,native Japanese rendering of kanji
訓練,"training, drill"
防火,"fire prevention, fireproof"
貧乏,"poverty, destitution"
昔,"old times, the old days"
貧乏人,"poor person, the poor"
乏しい,"scarce, short of"
豊か,abundant
表情,"expression, look"
豊富,abundance
ほうれん草,spinach
百貨店,department store
貨物,"freight, cargo"
外貨,foreign currency
墓地,"graveyard, cemetery"
墓参り,visit to a grave
墓,"grave, gravestone"
基地,"base, military base"
軍事,military affairs
軍,"army, troops"
盆地,"valley, basin"
盆,Bon Festival
盆,tray
盆踊り,Bon Festival dance
年賀,New Year's card
年賀状,New Year's card
完了,completion
終了,"end, expiry"
課程,"course, curriculum"
修了,completion (of a course of study)
鍋,"pan, saucepan"
アルミニウム,aluminum
鉄,iron
緩い,"slack, loose"
緩める,"loosen, unloose"
緩む,"slacken, be loose"
緩やか,"slack, loose"
存在,"existence, being"
有限,"limited, finite"
無数,"countless, innumerable"
精神,"mind, spirit"
安定,"stability, composure"
精算,"settlement of accounts, adjustment"
乗り越し,riding past one's stop
鼻,nose
耳鼻科,"otorhinology, ENT"
利益,"profit, benefit"
有益,"beneficial, profitable"
前年,the year before
株式,stock
漏れる,"leak, be disclosed"
漏らす,"give away, let leak"
多量,"large quantity, great deal"
冷房,air conditioning
女房,wife
文房具,"stationery, writing materials"
暖房,heating
敬語,"honorific language, polite speech"
敬う,"respect, honor"
内臓,internal organs
恐れ,"fear, risk"
心臓,heart
電卓,pocket calculator
食卓,dining table
元,"origin, source"
囲む,"enclose, encircle"
気候,climate
天候,"weather, climate"
注射,"injection, shot"
反射,reflection
射す,shine on
放射能,radioactivity
一致,"accord, agreement"
停車,stop (of a train)
致す,humbly do
出荷,"shipping, dispatch"
同封,enclosure
封,"seal, sealing"
日陰,the shade
お陰,"with the help of, thanks to"
物陰,place behind something
キャベツ,cabbage
添う,"accompany, go along with"
添える,"add to as support, to garnish"
暦,"calendar, almanac"
西暦,"Christian Era, A.D."
思い込む,"assume, believe"
悪女,"wicked woman, villainess"
騙す,"deceive, cheat"
改革,reform
革,leather
革命,revolution
罰,"punishment, penalty"
罰金,"fine, penalty"
罰する,punish
暇,"free time, spare time"
休暇,"holiday, vacation"
問答,"questions and answers, argument"
嫁,"bride, daughter-in-law"
花嫁,bride
悔しい,"vexing, frustrating"
後悔,regret
今更,"now, too late"
かちかち,"hard, solid"
冷凍,"freezing, cold storage"
凍る,"freeze, congeal"
後輩,one's junior
先輩,"senior, superior"
休憩,"rest, repose"
ひとまず,"for the time being, for a while"
陰,"shade, behind the scenes"
直径,diameter
半径,radius
検索,search
柿,"persimmon, persimmon tree"
溶ける,"be dissolved, be melted"
溶かす,"dissolve, melt"
高温,high temperature
捨てる,"discard, abandon"
小数,decimal
縦書き,vertical writing
操縦,"steering, operating (a vehicle etc.)"
縦,"lengthways, vertical"
捜す,"look for, search for"
捜査,"criminal investigation, search"
本部,"head office, headquarters"
六日,"six days, 6th of the month"
六つ,six (things)
六,six
不平,"discontent, dissatisfaction"
噴水,"jet, fountain"
火山,volcano
噴火,"eruption, volcanic activity"
穴,"hole, cavity"
犯罪,"offense, crime"
罪,"crime, sin"
防止,"prevention, determent"
風船,balloon
膨らむ,"expand, swell"
膨れる,"expand, fill up"
顔,face
拭く,"wipe, dry"
賛成,"approval, agreement"
無論,"of course, no doubt"
オルガン,"organ, pipe organ"
緊急,"urgent, pressing"
緊張,"tension, strain"
人前,in front of other people
ロープ,rope
以下,below
平均,"average, equilibrium"
収入,"income, earnings"
警官,"police officer, policeman"
追う,"chase, pursue"
官庁,government office
謝る,apologize
感謝,"gratitude, thanks"
月謝,monthly fee
過ち,"fault, mistake"
繰り返す,repeat
悲劇,"tragedy, tragic drama"
攻撃,"attack, criticism"
危機,"crisis, emergency"
叫ぶ,"shout, cry out"
叫び,"shout, cry"
刺さる,"stick, be stuck"
釘,"nail, spike"
沿う,"lie along, follow along"
赤道,equator
沿岸,"coast, shore"
清書,clean copy
煮える,"boil, be boiled"
豆,"bean, peas"
煮る,"boil, cook"
渡る,"cross, ford, go across"
橋,bridge
噂,"gossip, rumor"
広まる,"spread, be in general circulation"
広める,"spread (information etc.), make (something) known"
首脳,"head, leader"
刺激,"stimulus, stimulation"
脳,brain
七日,"seven days, 7th of the month"
孫,grandchild
前提,"assumption, premise"
交渉,"negotiation, bargaining"
自ら,"(for) oneself, personally"
厚い,"thick, bulky"
厚着,heavy clothing
厚さ,thickness
親善,"goodwill, friendly relations"
改善,"improvement, amelioration"
イメージ,image
清潔,"hygienic, sanitary"
不潔,"filthy, impure"
缶詰,"canned goods, confining someone"
缶,"can, tin"
匂い,"(pleasant) smell, odor"
匂う,smell (pleasant)
国内,"domestic, internal"
操作,"operation, manipulation"
濡らす,"wet, moisten"
灯油,"kerosene, lamp oil"
電灯,"lamp, electric light"
からから,"parched, dried-up"
喉,the throat
傾ける,"lean, tip, tilt"
傾向,"tendency, inclination"
傾く,"sink, decline, be prone to"
中年,middle-aged
症状,symptoms
初期,"early days, initial stage"
誠に,"truly, very"
誠実,"sincerity, honesty"
欠く,lack
自炊,cooking food for oneself
炊事,cooking
炊く,"cook, boil"
推進,promotion
推測,"conjecture, guess"
協議,"conference, deliberation"
委員会,committee
委員,"committee member, delegate"
章,chapter
目次,table of contents
文章,"writing, prose"
屑,"waste, scraps"
紙屑,wastepaper
競技,"match, sporting event"
競争,competition
団体,"group, corporation"
裁判所,courthouse
裁判,"trial, judgment"
総裁,"president, governor"
強力,powerful
洗剤,"detergent, cleanser"
逮捕,"arrest, capture"
大臣,minister
自然に,"naturally, instinctively"
血管,blood vessel
硬さ,hardness
上旬,beginning of the month
下旬,end of the month
中旬,middle ten days of a month
組織,"organization, constitution, tissue"
織物,"cloth, textile"
子孫,"descendant, offspring"
嵐,storm
たとえ,"even if, granting that"
幸い,"happiness, good fortune"
林,"woods, grove"
国土,"country, territory"
森林,"forest, woodland"
与える,give
楽,"comfort, relief"
野党,opposition party
賑わう,"bustle, enliven"
本,"book, volume"
小説,"novel, story"
古本,secondhand book
土,"soil, ground"
掘る,"dig, unearth"
宇宙,"universe, space"
物体,"object, physical body"
謎,"puzzle, mystery"
王,king
王様,king
布団,"futon, bedquilt"
干す,"dry, desiccate"
梅干し,pickled plum
欧米,Europe and America
確立,establishment
今日,"today, these days"
故障,"malfunction, fault, breakdown"
冷蔵庫,refrigerator
大蔵省,Ministry of Finance
軍隊,"army, troops"
自衛隊,Self Defense Forces
擦る,"rub, strike"
上着,"coat, jacket"
脱線,derailment
脱ぐ,"remove clothes, take off"
読者,"reader, subscriber"
欄,"column, field"
解説,"explanation, commentary"
国籍,"nationality, citizenship"
成年,"majority, adult"
戸籍,family register
渋滞,"delay, traffic jam"
市街,"the streets, downtown"
渋い,"bitter, astringent"
血液,blood
液,"liquid, fluid"
液体,"liquid, fluid"
申請,"application, petition"
要請,"request, demand"
年月日,date (YYYY/MM/DD)
十字路,crossroads
海上,maritime
衝突,"collision, conflict"
歯磨き,"toothpaste, brushing one's teeth"
風呂場,bathroom
磨く,"polish, grind"
岩,"rock, crag"
もろい,"weak, brittle"
無生物,inanimate object
穏やか,"calm, mild"
性質,"nature, property"
波,"wave, fluctuations"
崩す,"destroy, break"
崩れる,"crumble, collapse"
崖,cliff
溜め息,sigh
溜まる,"accumulate, store up"
溜める,"store, collect"
刑事,detective
刑務所,prison
演じる,"perform, play"
兵器,"arms, weapon"
兵士,soldier
鮮やか,vivid
市場,"market, marketplace"
新鮮,fresh
とがる,be sharp
鉛筆,pencil
紙,paper
成立,"formation, closing (of a deal etc.)"
契約,"contract, agreement"
嘘,lie
怒る,"get angry, scold"
嘘つき,liar
とりあえず,"for now, first of all"
消防,"fire fighting, fire prevention"
勇敢,"brave, heroic"
偉い,"great, famous, eminent"
発明,invention
偉大,"great, mighty"
編む,knit
編集,"editing, compilation"
毛糸,"woolen yarn, wool"
腐る,"rot, corrode"
豆腐,tofu
栄養,"nutrition, nourishment"
実施,"enforcement, implementation"
施設,"facilities, institution"
器具,"utensil, implement"
出版,"publishing, publication"
出版社,publishing company
著書,"literary work, book"
食堂,"dining hall, restaurant"
セルフサービス,self-service
講堂,"lecture hall, auditorium"
触る,"touch, feel"
触れる,"touch, come in contact with"
姓名,full name
姓,"surname, family name"
同姓,same surname
敷く,"lay, spread"
敷金,"deposit, key money"
条約,treaty
満たす,"fill (something), fulfill (a requirement, etc.)"
条件,"condition, item"
不要,"unnecessary, unneeded"
処理,"management, process"
取り消し,"cancellation, annulment"
木枯らし,cold wintry wind
草木,plants and trees
枯れる,"wither, die"
焦げる,"scorch, burn"
焦る,"feel pressured, feel hurried"
郊外,"suburbs, outskirts"
近郊,"suburbs, outskirts"
学園,"educational institution, school"
ねぎ,"Welsh onion, green onion"
足す,"add, supplement"
味噌汁,miso soup
黄色い,yellow
黄色,yellow
合わす,"match, add"
範囲,"range, scope"
狭める,"narrow, contract"
臨時,"temporary, provisional"
休業,"suspension of business, closure"
臨む,be present at
切符,ticket
片道,one way
拡大,"magnification, enlargement"
市場,"market (industrial, financial, etc.)"
ドライブ,drive
白菜,nappa cabbage
漬物,"pickle, pickled vegetable"
漬ける,"pickle, marinade"
微か,"faint, dim"
振り向く,"turn around, look back"
すっと,clear
手術,surgical operation
胸,"chest, breast"
応援,"support, cheering"
駆ける,"gallop, run quickly"
駆け足,"gallop, run"
爪切り,nail clipper
爪,"nail, claw"
箸,chopsticks
割り箸,disposable chopsticks
州,state
家内,my wife
出身,"come from, origin"
品切れ,"run out, sell out"
牛乳,milk
さっと,"quickly, suddenly"
浮かぶ,float
沖,offshore
政策,"policy, political measures"
対策,"measure, action"
策,"scheme, policy"
補う,"supplement, replenish"
有力,"powerful, influential"
候補,"candidacy, candidate"
たちまち,"in a moment, instantly"
曇り,"cloudiness, cloudy weather"
曇る,become cloudy
掛ける,"hang, put on"
生きる,live (one's life)
一生懸命,"for life, with all one's might"
模範,"model, role model"
規模,"scale, scope"
模様,"pattern, design"
漏る,"leak, be leaky"
和室,Japanese style room
天井,ceiling
被る,"wear, put on (on one's head)"
目立つ,"stand out, be conspicuous"
帽子,"cap, hat"
懐かしい,"longed-for, old"
振り返る,"turn one's head, turn round"
日の丸,"Rising Sun Flag, Japanese flag"
国旗,national flag
旗,"flag, banner"
損する,"lose, suffer loss"
損害,"damage, harm"
損,loss
派閥,"clique, faction"
順序,order
気体,"gas, vapor"
沸騰,boiling
忠告,"advice, admonishment"
永遠,eternity
永久,"permanence, eternity"
笛,"flute, whistle"
霧,"fog, mist"
開ける,"widen, develop"
偏る,"be one-sided, deviate"
偏見,"prejudice, biased view"
学ぶ,"learn, study"
哲学,philosophy
遠慮,"reserve, hesitation, forethought"
考慮,"consideration, deliberation"
拝見,humbly look at or see
拝む,"bow in veneration, worship"
包帯,"bandage, dressing"
巻く,"roll up, wind, wrap"
掻く,scratch
掻き回す,"stir up, agitate"
あえて,boldly
冒険,"adventure, risk"
乾燥,"drying up, desiccation"
改造,"remodeling, reorganization"
内閣,cabinet
図書,books
児童,"child, juvenile"
返却,return
民間,"citizens, civilians"
五つ,five (things)
桃,"peach, peach tree"
億,hundred million
概念,"general idea, concept"
大概,"generally, probably"
雇う,"employ, hire"
雇用,employment
抑える,"suppress, bring under control"
欲求,"want, desire"
慌てる,"be flustered, in a hurry"
慌ただしい,"busy, flurried"
独占,"exclusive possession, monopoly"
占める,"occupy, hold"
武器,"weapon, arms"
武士,"warrior, samurai"
木綿,cotton (material)
綿,cotton
一旦,"once, for a moment"
元旦,New Year's Day (col.)
展覧会,exhibition
連日,"everyday, prolonged"
地,"ground, place"
生涯,"for life, lifetime"
潰す,"crush, smash"
潰れる,crush
かえる,frog
合唱,chorus
看板,"signboard, sign"
塗る,"spread on, paint"
偶然,"chance, accident"
偶数,even number
オーケストラ,"orchestra, orchestral music"
指揮,"command, initiative"
俳句,haiku
俳優,"actor, actress"
年配,"elderly, age"
譲る,"transfer, concede"
摩擦,"friction, rubbing"
生じる,"produce, cause"
故郷,"hometown, birthplace"
晩年,late in life
元日,New Year's Day
初詣,first shrine visit of the new year
恨む,"resent, hold a grudge"
恨み,"resentment, grudge"
姪,niece
証拠,"proof, evidence"
根拠,"grounds, basis"
巡る,"go round, circulate"
お巡りさん,"patrolman, policeman"
透き通る,be(come) transparent
透明,transparent
廊下,"hallway, corridor"
足音,sound of footsteps
敏感,"sensitive (to), susceptibility"
動作,"movements, actions"
売り上げ,"sales, proceeds"
倍,double
批評,"criticism, commentary"
批判,"criticism, judgement"
励ます,"encourage, urge"
わく,well up
豚肉,pork
豚,pig
縮小,"reduction, curtailment"
印刷,printing
馬,horse
牧場,"stock farm, pasture"
掲示,"notice, bulletin"
掲示板,"notice board, bulletin board"
演奏,musical performance
定期,"fixed term, regular"
雰囲気,"atmosphere, mood"
和らげる,"soften, relieve"
遂げる,"accomplish, achieve"
目覚ましい,"striking, marvelous"
お嬢さん,"young lady, your daughter"
投稿,"posting, sending (an article etc.)"
砂糖,sugar
あり,ant
氏名,name (of a person)
氏,Mr.
特徴,"distinctive feature, characteristic"
既に,"already, previously"
既製,"ready-made, ready-to-wear"
殊に,"especially, exceptionally"
特殊,"special, unique"
ひねる,"twist, turn"
蛇,"snake, serpent"
指示,"instruction, direction"
邪魔,"hindrance, obstruction"
祈る,"pray, wish for"
砕ける,"be crushed, break down"
砕く,"crush, smash"
合図,"signal, sign"
車掌,train conductor
雷,"thunder, lightning"
ごろごろ,rumble
肉体,"body, flesh"
滅びる,"go to ruin, fall"
超過,excess
領域,"territory, domain"
大抵,"generally, mostly"
及ぶ,"reach to, come up to"
普及,"diffusion, spread"
恥ずかしい,"shy, ashamed, disgraceful"
恥,"shame, disgrace"
印鑑,personal seal
鑑賞,"viewing, enjoyment (of art)"
幼稚,"childish, infantile"
幼稚園,kindergarten
焦点,"focus, focal point"
絞る,"wring out, squeeze"
喫茶店,"coffee shop, tea house, café"
喫煙,smoking
お詫び,apology
詫びる,apologize
卑しい,"mean, greedy"
飼う,keep (an animal)
忠実,"faithfulness, devotion"
峠,"mountain pass, ridge"
越す,"go over, surmount"
沈没,sinking
税関,"custom house, customs"
亀,"turtle, tortoise"
寿命,life span
慣らす,accustom
潜る,dive into
うちわ,round paper fan
扇風機,electric fan
濃い,"thick, concentrated, dark-colored"
漁業,fishing industry
地方,"district, region"
鈍感,thick-headedness
鈍い,"dull, sluggish"
鐘,"bell, gong"
鳴らす,"ring, sound"
誘う,"invite, ask out"
強引,"overbearing, coercive"
稼ぐ,"earn, make money"
学費,"school expenses, tuition"
埋める,"bury, fill up (a hole, etc.)"
埋める,"bury, fill in"
咳,cough
治まる,"settle down, be cured"
結核,tuberculosis
核,"core, atomic nucleus"
凄い,"wonderful, great, incredible"
物凄い,tremendous
葬式,funeral ceremony
仏教,Buddhism
丘,"hill, slope"
見渡す,look out over
投票,"vote, ballot"
役所,public office
貝,"shellfish, shell"
浜辺,"beach, seashore"
否定,"denial, negation"
分裂,"division, split"
裂ける,"split, tear"
冗談,joke
程,"extent, limit"
兵隊,"soldier, troops"
要項,important points
項目,"item, clause"
上流,upstream
下流,downstream
胃腸,stomach and intestines
腸,"intestines, entrails"
銭湯,"public bath, bathhouse"
金銭,"money, cash"
貿易,"trade, commerce"
日中,Sino-Japanese
訴える,sue
訴え,"lawsuit, appeal"
滑る,"slide, slip, flunk an examination"
滑らか,"smooth, glassy"
怖がる,"be afraid of, fear"
怖い,"fearful, be afraid"
勧める,"suggest, recommend"
医師,"doctor, physician"
跳ねる,"leap, hop, bound"
塞がる,close up
塞ぐ,"close, shut"
吐く,"vomit, confess, emit"
徹夜,"all night, sleepless night"
徹底的,"thorough, exhaustive"
記憶,"memory, recollection"
不確か,"unreliable, uncertain"
天,"sky, Heaven"
恵まれる,"be blessed, be privileged"
汲む,"to draw (water), to scoop"
バケツ,bucket
削減,"cut, reduction"
福祉,"well-being, social security"
苛め,bullying
苛める,"tease, torment, pick on"
興奮,"excitement, stimulation"
観客,"audience, spectator"
零,"zero, naught"
零下,"below zero, sub-zero"
肩,shoulder
この頃,"now, these days, recently"
眺め,"view, prospect"
眺める,"look out, gaze"
扱う,"handle, deal with"
丁寧,"polite, courteous, careful"
惜しむ,"regret, feel sorry"
惜しい,"almost, so close"
悲しみ,"grief, sadness"
怠ける,"be lazy, neglect"
いけない,"wrong, must not"
高価,high-priced
宝石,"gem, jewel"
承認,"approval, recognition"
承知,"consent, knowledge"
抗議,"protest, remonstrance"
抵抗,"resistance, opposition"
促す,"hasten, urge"
催促,"pressing, demanding"
お年玉,New Year's gift
甥,nephew
権威,"authority, power"
威張る,"put on airs, be arrogant"
人格,"character, personality"
尊敬,"respect, esteem, honor"
単純,"simple, uncomplicated"
何遍,how many times
一遍に,all at once
憧れ,"yearning, longing"
憧れる,"yearn after, adore"
治療,medical treatment
医療,"medical service, healthcare"
旅客機,passenger plane
墜落,"fall, crash"
大きさ,"size, dimensions"
封筒,envelope
正常,"normality, normalcy"
患者,patient
記述,description
述べる,"state orally, expound, mention"
鞄,"bag, handbag, briefcase"
重たい,"heavy, massive"
不愉快,"unpleasant, disagreeable"
愉快,"pleasant, delightful"
比較,comparison
比較的,"comparatively, relatively"
乱す,"throw (something) into disorder, corrupt (something)"
世紀,century
寄せる,"draw near, draw up, gather"
塀,"fence, wall"
ひどい,"cruel, severe"
喧嘩,"fight, quarrel, argument"
かみそり,razor
正,"right, positiveness"
副詞,adverb
天皇,emperor
象徴,"symbol, symbolize"
浅い,"shallow, superficial"
賑やか,"lively, bustling"
芝生,"lawn, turf"
脂,"fat, grease"
紫,purple
朝顔,morning glory
宛名,"name of recipient, addressee"
宛先,"recipient, addressee"
網,"net, netting"
捕まえる,"arrest, capture"
叱る,"scold, tell off, reprimand"
わがまま,"selfishness, willfulness"
縄,"rope, cord"
方面,"direction, area"
中指,middle finger
挟む,trap
眉,eyebrow
眉毛,eyebrows
拍手,"applause, clapping"
畳む,"fold, shut"
畳,"tatami, mat"
噛む,"bite, chew"
噛み付く,bite at
控え室,waiting room
控える,"hold back, show moderation"
要旨,"gist, overview"
筆者,writer
一瞬,"instant, moment"
瞬間,"instant, second; moment"
囁く,whisper
待遇,"treatment, pay"
隅,"nook, corner"
羨ましい,"envious, envy"
冷淡,"cool, indifferent"
矢印,arrow
寂しい,"lonely, desolate, sad"
湯飲み,teacup
移す,"move, shift, transfer"
芋,"potato, yam"
苺,strawberry
谷,"valley, ravine"
秩序,"order, method"
脂肪,"fat, grease"
維持,"maintenance, upkeep"
中央,center
湾,"bay, gulf"
名称,name
幕,curtain
魅力,"charm, attraction"
貨幣,"money, currency"
奪う,"rob, take by force"
遭う,"meet with, encounter"
顎,"jaw, chin"
宣伝,"publicity, advertisement"
拒否,"denial, rejection"
分析,analysis
尾,tail
石鹸,soap
頑丈,"solid, strong"
炒める,stir-fry
栽培,"cultivation, raising"
吊るす,hang
歓迎,welcome
皮膚,skin
広場,"square, open space"
ばあさん,"grandmother, old lady"
真珠,pearl
巣,"nest, den"
是非,"by all means, at any cost"
縮める,"contract, shorten"
昭和,Showa era
漫画,"manga, comics"
惨め,"miserable, pitiable"
親戚,a relative
便箋,"letter paper, stationery"
化粧,"make up, put on makeup"
縛る,"bind, restrict"
報酬,"remuneration, reward"
希望,"hope, wish"
合意,mutual agreement
慰める,"console, comfort"
撫でる,"stroke, pat"
倉庫,"warehouse, storehouse"
訂正,"correction, amendment"
股,"crotch, groin"
茄子,eggplant
彫る,"engrave, carve"
醜い,"ugly, bad-looking"
繁栄,"prosperity, thriving"
墨,black ink
刀,"sword, blade"
ジャズ,jazz
蜂,bee
依頼,"request, commission"
飴,"candy, sweets"
原稿用紙,"manuscript paper, writing pad"
巨大,"huge, gigantic"
茎,stem
基礎,"basis, foundation"
寮,"dormitory, lodging house"
縫う,"sew, stitch"
間隔,"interval, space"
一斉に,"all together, all at once"
陸,"land, shore"
徐行,slow speed
肺,"lung, lungs"
審議,"deliberation, consideration"
往復,"going and returning, round trip"
雀,sparrow
指摘,"identification, pointing out"
拡張,"expansion, extension"
雌,female (animal)
嘆く,"sigh, grieve"
大胆,"boldness, daring"
頂戴,"getting, receiving"
狙う,"aim, be after"
召し上がる,"eat, drink"
ばい菌,"bacterium, germ"
偽物,"sham, imitation"
誓う,"vow, swear"
妊娠,"pregnancy, conception"
吠える,"bark, roar"
諦める,"abandon, give up"
枠,"frame, limits"
芽,"bud, sprout"
班,"squad, group"
廃止,"abolishment, abandonment"
溺れる,"drown, be drowned"
裏門,back gate
旧,"old, former"
双子,twins
舌,tongue
心理,"mental state, psychology"
襟,"collar, lapel"
索引,index
涼しい,"cool, refreshing"
覚悟,"readiness, resolution"
耐える,"withstand, endure"
奨学金,"scholarship, fellowship"
歌舞伎,kabuki
粗筋,"outline, plot"
可哀相,"poor, pitiable"
翻訳,translation
諸国,various countries
倣う,"copy, follow an example"
華やか,"gorgeous, colorful"
販売,"sale, selling"
酢,vinegar
平凡,"common, ordinary"
爽やか,"refreshing, clear"
郡,county
衰える,"weaken, decline"
下痢,diarrhea
襲う,"raid, attack"
明瞭,"clear, plain"
狂う,"become insane, get out of order"
